Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
24 September18:21,Athena II,,United States,Vandenberg SLC-6,Lockheed Martin,Ikonos 2,Space Imaging,Sun-synchronous,Earth imaging,In orbit,Operational,"
Final flight of Athena II
"
25 September06:29,Ariane 4 44P,,France,Kourou ELA-2,Arianespace,Telstar 7,Loral Skynet,Geosynchronous,Communications,In orbit,Operational
26 September22:30,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 81/23,International Launch Services,LMI-1,LMI,Geosynchronous,Communications,In orbit,Operational
27 September10:00,Black Brant IX,,United States,White Sands,NASA,,NASA,Suborbital,Ultraviolet astronomy,27 September,Successful
28 September11:00,Soyuz-U,,Russia,Plesetsk Site 43/4,,Resurs F-1M,Roskosmos,Low Earth,Remote sensing,22 October,Successful
1 October,R-29,,Russia,"Submarine, Sea of Okhotsk",Russian Navy,,Russian Navy,Suborbital,Missile test,1 October,Successful
1 October08:42,Topol M,,Russia,Plesetsk Site 158,RVSN,,RVSN,Suborbital,Missile test,1 October,Successful
2 October,R-29,,Russia,"Submarine, Sea of Okhotsk",Russian Navy,,Russian Navy,Suborbital,Missile test,2 October,Successful
3 October02:01,Minuteman II,,United States,Vandenberg LF-03,US Air Force,MSLS IFT-2,US Air Force,Suborbital,ABM target,3 October,Successful
3 October02:22,PLV,,Marshall Islands,"Meck Island, Kwajalein Atoll",US Air Force,EKV,US Air Force,Suborbital,ABM test,3 October,Successful
7 October12:51,Delta II 7925-9.5,,United States,Cape Canaveral SLC-17A,Boeing IDS,USA-145 (GPS IIR-3),US Air Force,Medium Earth,Navigation,In orbit,Successful
10 October03:28,Zenit-3SL,,Norway,Ocean Odyssey,Sea Launch,DirecTV-1R,DirecTV,Geosynchronous,Communications,In orbit,Operational
14 October03:15,Long March 4B,,China,Taiyuan LC-1,CASC,"Zi Yuan 1
SACI 1","CAST/INPE
INPE","Low Earth
Low Earth","Remote sensing
Technology development","In orbit
In orbit","Partial satellite failure
Spacecraft failure","
Zi Yuan 1 Wide field camera failed 177 days after launch; SACI 1 ceased communications less than a month after launch
"
18 October13:22,Soyuz-U/Ikar,,Kazakhstan,Baikonur Site 1/5,Starsem,"Globalstar 57
Globalstar 59
Globalstar 56
Globalstar 31","Globalstar
Globalstar
Globalstar
Globalstar","Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational"
19 October06:22,Ariane 4 44LP,,France,Kourou ELA-2,Arianespace,Orion 2,Loral Orion,Geosynchronous,Communications,In orbit,Operational
20 October,UR-100N,,Kazakhstan,Baikonur Site 175,RVSN,,RVSN,Suborbital,Missile test,20 October,Successful
27 October16:16,Proton-K/DM-2,,Kazakhstan,Baikonur Site 200/39,,Ekspress-A1,AO Komichekaya,Intended: Geosynchronous,Communications,27 October,Launch Failure,"
Second stage malfunction
"
November,A-350R,,Kazakhstan,Sary Shagan,PRO Противоракетная оборона (ПРО),,,Suborbital,Missile test,Within one hour,Successful
1 November,RH-300,,India,Sriharikota,ISRO,EWS,ISRO,Suborbital,Ionosphere research,1 November,Successful
10 November,Trident D-5,,United States,"Submarine, Eastern Test Range",US Navy,,US Navy,Suborbital,Missile test,10 November,Successful
10 November,Trident D-5,,United States,"Submarine, Eastern Test Range",US Navy,,US Navy,Suborbital,Missile test,10 November,Successful
13 November08:20,Minuteman III,,United States,Vandenberg LF-26,US Air Force,PRP FTM-01,US Air Force,Suborbital,Missile test,13 November,Successful
13 November22:52,Ariane 4 44LP,,France,Kourou ELA-2,Arianespace,GE 4,GE Americom,Geosynchronous,Communications,In orbit,Operational
15 November07:29,H-II,,Japan,Tanegashima LA-Y1,NASDA,MTSAT,NASDA,Intended: Geosynchronous,Weather/Communications,15 November,Launch Failure,"
Final flight of H-IIFirst stage malfunction
"
17 November,R-39,,Russia,"Submarine, Barents Sea",Russian Navy,,Russian Navy,Suborbital,Missile test,17 November,Successful
17 November,R-39,,Russia,"Submarine, Barents Sea",Russian Navy,,Russian Navy,Suborbital,Missile test,17 November,Successful
18 November01:55,RH-300 MK-II,,India,Sriharikota,ISRO,LMS,ISRO,Suborbital,Ionosphere/Meteor research,18 November,Successful
19 November22:30,Long March 2F,,China,Jiuquan SLS,CASC,Shenzhou 1,CASC,Low Earth,Test spacecraft,20 November19:41,Successful,"
Maiden flight of Long March 2F and Shenzhou spacecraft
"
20 November01:35,RH-300 MK-II,,India,Sriharikota,ISRO,LMS,ISRO,Suborbital,Ionosphere/Meteor research,20 November,Successful
22 November16:20,Soyuz-U/Ikar,,Kazakhstan,Baikonur Site 1/5,Starsem,"Globalstar 39
Globalstar 34
Globalstar 29
Globalstar 61","Globalstar
Globalstar
Globalstar
Globalstar","Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational"
23 November04:06,Atlas IIA,,United States,Cape Canaveral SLC-36B,,USA-146 (UHF F/O F10),US Navy,Geosynchronous,Communications,In orbit,Operational
3 December16:22,Ariane 4 40,,France,Kourou ELA-2,Arianespace,"Hélios 1B
Clementine","French government
DGA","Low Earth
Low Earth","Reconnaissance
SIGINT","In orbit
In orbit","Successful
Operational","
Final flight of Ariane 4 40Hélios 1B decommissioned in October 2004
"
4 December18:53,Pegasus-XL/HAPS,,United States,"Stargazer, Wallops Island",Orbital Sciences,"Orbcomm 30
Orbcomm 31
Orbcomm 32
Orbcomm 33
Orbcomm 34
Orbcomm 35
Orbcomm 36","Orbcomm
Orbcomm
Orbcomm
Orbcomm
Orbcomm
Orbcomm
Orbcomm","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational
Operational
Operational
Operational"
10 December14:32,Ariane 5G,,France,Kourou ELA-3,Arianespace,XMM-Newton,ESA,High Earth,X-ray Astronomy,In orbit,Operational
11 December18:25,VLS-1,,Brazil,Alcântara,INPE,SACI-2,INPE,Intended: Low Earth,Technology development,11 December,Launch Failure,"
Self-destruct activated after second stage failed to ignite
"
12 December17:38,Titan II 23G,,United States,Vandenberg SLC-4W,Lockheed Martin,USA-147 (DMSP 5D3 F15),US Air force,Sun-synchronous,Weather satellite,In orbit,Operational
14 December08:05,Topol M,,Russia,Plesetsk Site 158,RVSN,,RVSN,Suborbital,Missile test,14 December,Successful
17 December17:00,Terrier-Orion,,United States,Wallops Island,NASA,MG.Pool Boiling,NASA,Suborbital,Microgravity research,17 December,Successful
18 December18:57,Atlas IIAS,,United States,Vandenberg SLC-3E,,Terra,NASA,Sun-synchronous,Earth observation,In orbit,Operational
20 December00:50,Space Shuttle Discovery,,United States,Kennedy LC-39B,United Space Alliance,STS-103,NASA,Low Earth (HST),HST Servicing,28 December00:01,Successful,"
Crewed orbital flight with seven astronautsHubble Space Telescope Servicing Mission 3A
"
21 December07:13,Taurus 2110,,United States,Vandenberg LC-576E,Orbital Sciences,"KOMPSAT
ACRIMSAT
Celestis-03","KAIST
NASA
Celestis","Sun-synchronous
Sun-synchronous
Sun-synchronous","Ocean colour sensor
Solar research
Space burial","In orbit
In orbit
In orbit","Successful
Operational
Successful","
Contact with KOMPSAT lost on 6 January 2008
"
22 December00:50,Ariane 4 44L,,France,Kourou ELA-2,Arianespace,Galaxy 11,PanAmSat,Geosynchronous,Communications,In orbit,Operational
24 December,Rokot/Briz-K,,Russia,Plesetsk Site 133,RVSN,RVSN-40,RVSN,Planned: MEO,Satellite navigation test,Failed on launch pad,Launch Failure
